total=767 done=0 todo=767
[10/767] 64a13949e879 (HA=29796 EA=65835 MAC=12) elapsed=2.5m ETA=192.1m
[210/767] 75c180e04f65 (HA=0 EA=5 MAC=1) elapsed=48.5m ETA=128.6m
[220/767] 76b950c6ed5e (HA=0 EA=0 MAC=0) elapsed=50.4m ETA=125.3m
[230/767] 76f3473df8a6 (HA=0 EA=0 MAC=1) elapsed=52.5m ETA=122.7m
[240/767] 77e7c7a160c8 (HA=1100 EA=316 MAC=7) elapsed=54.5m ETA=119.6m
[250/767] 78937523f7a8 (HA=0 EA=0 MAC=0) elapsed=56.2m ETA=116.2m
[260/767] 79540be95177 (HA=77536 EA=9062 MAC=18) elapsed=59.8m ETA=116.7m
[270/767] 7a39c91416e2 (HA=34 EA=1 MAC=0) elapsed=62.5m ETA=115.0m
[280/767] 7ad0c4975890 (HA=1093 EA=0 MAC=1) elapsed=64.4m ETA=112.1m
[290/767] 7b8c78b41c0d (HA=35808 EA=565772 MAC=1) elapsed=66.4m ETA=109.2m
[300/767] 7c2f820a6425 (HA=1301 EA=57611 MAC=1) elapsed=68.1m ETA=106.1m
[310/767] 7d0a871c45db (HA=0 EA=6 MAC=0) elapsed=70.0m ETA=103.3m
[320/767] 7da558d92100 (HA=0 EA=0 MAC=0) elapsed=72.0m ETA=100.5m
[330/767] 7e77b61e1639 (HA=0 EA=0 MAC=0) elapsed=73.8m ETA=97.7m
[340/767] 7f0ffeb0a333 (HA=0 EA=338 MAC=0) elapsed=75.7m ETA=95.1m
[350/767] 7fdb177b8f7d (HA=0 EA=0 MAC=1) elapsed=77.3m ETA=92.1m
[360/767] 80b5a9519aec (HA=17202 EA=387704 MAC=1) elapsed=79.3m ETA=89.6m
[370/767] 812d5adafaf2 (HA=15037 EA=34453 MAC=10) elapsed=81.3m ETA=87.2m
[380/767] 82088c6734e6 (HA=0 EA=1 MAC=1) elapsed=83.3m ETA=84.8m
[390/767] 82f2784ead76 (HA=89887 EA=135068 MAC=8) elapsed=85.4m ETA=82.6m
[400/767] 838c87c63422 (HA=1088634 EA=33446 MAC=1) elapsed=87.1m ETA=79.9m
[410/767] 8421107255ae (HA=6148 EA=31713 MAC=10) elapsed=88.9m ETA=77.4m
[420/767] 84b88e8d3bca (HA=0 EA=0 MAC=0) elapsed=90.7m ETA=74.9m
[430/767] 85cbb84ac8e0 (HA=21180 EA=215434 MAC=3) elapsed=92.8m ETA=72.7m
[440/767] 8693ab1fd2be (HA=0 EA=0 MAC=0) elapsed=94.6m ETA=70.3m
[450/767] 8714d17bb6da (HA=92 EA=609 MAC=1) elapsed=96.9m ETA=68.3m
[460/767] 878a3a097436 (HA=0 EA=14075 MAC=0) elapsed=99.1m ETA=66.1m
[470/767] 883ddb650967 (HA=0 EA=8 MAC=0) elapsed=101.3m ETA=64.0m
[480/767] 891392c9683c (HA=8288 EA=30171 MAC=2) elapsed=103.5m ETA=61.9m
[490/767] 89ed6a0dd53f (HA=600 EA=38494 MAC=1) elapsed=105.5m ETA=59.6m
[500/767] 8a7765e785fb (HA=0 EA=0 MAC=0) elapsed=107.7m ETA=57.5m
[510/767] 8acffaf1f4b9 (HA=56325 EA=20868 MAC=11) elapsed=109.8m ETA=55.3m
[520/767] 8be6629a6039 (HA=0 EA=0 MAC=0) elapsed=111.8m ETA=53.1m
[530/767] 8ceff4c4c860 (HA=0 EA=0 MAC=2) elapsed=114.0m ETA=51.0m
[540/767] 8dafa62f9322 (HA=0 EA=9 MAC=0) elapsed=115.9m ETA=48.7m
[550/767] 8e67f2d7e0ee (HA=0 EA=2 MAC=0) elapsed=118.3m ETA=46.7m
[560/767] 8f2996b8d855 (HA=3546 EA=2453 MAC=3) elapsed=120.3m ETA=44.5m
[570/767] 9095d43fb132 (HA=0 EA=207 MAC=0) elapsed=122.2m ETA=42.2m
[580/767] 916ec976ff30 (HA=100787 EA=52266 MAC=8) elapsed=123.7m ETA=39.9m
[590/767] 92e3d608fd3c (HA=0 EA=0 MAC=0) elapsed=125.6m ETA=37.7m
[600/767] 00836aaacf06 (HA=256 EA=4567 MAC=24) elapsed=127.2m ETA=35.4m
[610/767] 020921b796d5 (HA=1440 EA=2434 MAC=51) elapsed=128.7m ETA=33.1m
[620/767] 03be80919be4 (HA=8079 EA=4483 MAC=24) elapsed=130.4m ETA=30.9m
[630/767] 062ed40f5272 (HA=515 EA=1779 MAC=0) elapsed=131.9m ETA=28.7m
[640/767] 0749255f718d (HA=32879 EA=104 MAC=1) elapsed=133.5m ETA=26.5m
[650/767] 0928150bb29a (HA=7 EA=0 MAC=14) elapsed=135.2m ETA=24.3m
[660/767] 0a2b5e1a0be8 (HA=5067 EA=18691 MAC=18) elapsed=136.6m ETA=22.1m
[670/767] 0c7e40a82c60 (HA=9040 EA=11528 MAC=23) elapsed=138.4m ETA=20.0m
[680/767] 0d564d76c97c (HA=4201 EA=1510 MAC=63) elapsed=139.8m ETA=17.9m
[690/767] 0edc0c33e929 (HA=0 EA=0 MAC=2) elapsed=141.5m ETA=15.8m
[700/767] 0fd68a854aa1 (HA=0 EA=0 MAC=17) elapsed=143.0m ETA=13.7m
[710/767] 119c13369239 (HA=708 EA=3291 MAC=27) elapsed=144.7m ETA=11.6m
[720/767] 1326dad5651f (HA=325 EA=0 MAC=0) elapsed=146.3m ETA=9.6m
[730/767] 156350bc41c9 (HA=1287 EA=3698 MAC=48) elapsed=147.8m ETA=7.5m
[740/767] 172eb75bc414 (HA=184 EA=0 MAC=1) elapsed=149.4m ETA=5.5m
[750/767] 1822b6c60784 (HA=2977 EA=1215 MAC=68) elapsed=151.0m ETA=3.4m
[760/767] 1d1539c0fb03 (HA=18395 EA=11873 MAC=3) elapsed=152.6m ETA=1.4m
[767/767] 326808142745 (HA=458 EA=5131 MAC=35) elapsed=153.8m ETA=0.0m
done: 767/767 in 153.8m
